date,giadieuchinh,close,thaydoi,volumn,gtkhoplenh,klthoathuan,gtthoathuan,giathamchieu,open,max,min,adj
2018-08-29,9.67,11.6,0.00 (0.00 %),1400,16240000,0,0,11.6,11.6,11.6,11.6,9.67
2018-08-30,9.67,11.6,0.00 (0.00 %),0,0,0,0,11.6,11.6,11.6,11.6,9.67
2018-08-31,9.67,11.6,0.00 (0.00 %),0,0,0,0,11.6,11.6,11.6,11.6,9.67
2018-09-04,9.67,11.6,0.00 (0.00 %),200,2320000,0,0,11.6,11.6,11.6,11.6,9.67
2018-09-05,10.33,12.4,0.80 (6.90 %),2000,24800000,0,0,11.6,12.4,12.4,12.4,10.33
2018-09-06,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-07,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-10,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-11,12.4,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-12,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-13,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-14,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-17,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-18,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-19,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-20,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-21,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-24,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-25,10.33,12.4,0.00 (0.00 %),100,1240000,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-26,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-27,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-09-28,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-10-01,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-10-02,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-10-03,10.33,12.4,0.00 (0.00 %),0,0,0,0,12.4,12.4,12.4,12.4,10.33
2018-10-04,9.83,11.8,-0.60 (-4.84 %),100,1180000,0,0,12.4,11.8,11.8,11.8,9.83
2018-10-05,9.83,11.8,0.00 (0.00 %),0,0,0,0,11.8,11.8,11.8,11.8,9.83
2018-10-08,9.83,11.8,0.00 (0.00 %),0,0,0,0,11.8,11.8,11.8,11.8,9.83
